iteration,style_loss,content_loss,total_loss,inference_time,ssim,psnr,lpips
1,54477304000.0,0.0,54477304000.0,3720.994710922241,0.7414522,33.979502415253926,0.0
2,29053032000.0,880978.2,29053913000.0,1391.9947147369385,0.59581536,30.04958692359157,0.0
3,20577184000.0,2105550.0,20579290000.0,1406.7211151123047,0.50848985,28.06588694301812,0.0
4,16541747000.0,2043090.5,16543790000.0,1376.8670558929443,0.45438147,26.793929466408592,0.0
5,13389643000.0,2316303.0,13391959000.0,1364.9473190307615,0.41651285,25.838607604566835,0.0
6,12526069000.0,2587875.5,12528656000.0,1355.924129486084,0.38884476,25.10383942686573,0.0
7,11708609000.0,2673326.5,11711282000.0,1371.066331863403,0.3668951,24.51090487944025,0.0
8,10703600000.0,2663054.0,10706263000.0,1338.19842338562,0.34918174,24.015963778844856,0.0
9,10128035000.0,2681268.5,10130716000.0,1308.0878257751465,0.33505765,23.595988733733147,0.0
10,9283393000.0,2750007.2,9286143000.0,1344.9954986572266,0.32497728,23.230130060073662,0.0
11,8415020500.0,2833162.5,8417854000.0,1351.6337871551514,0.31608132,22.90382426963584,0.0
12,7831089000.0,2889977.2,7833979000.0,1371.5600967407229,0.30758512,22.608674180281,0.0
13,7348174300.0,2898491.5,7351073000.0,1346.3459014892578,0.29944116,22.33829055026309,0.0
14,6899270000.0,2869452.8,6902139400.0,1322.660207748413,0.29193524,22.08848650711547,0.0
15,6616188000.0,2834218.0,6619022300.0,1294.3072319030762,0.28533897,21.856965128691456,0.0
16,6448317000.0,2820376.0,6451137500.0,1360.8179092407229,0.27991298,21.642221114841703,0.0
17,6225789400.0,2837671.2,6228627000.0,1327.6569843292236,0.27598044,21.44266092618748,0.0
18,5947763700.0,2878090.2,5950641700.0,1332.43989944458,0.27219364,21.25644046264052,0.0
19,5714694700.0,2922702.2,5717617000.0,1300.001621246338,0.26798943,21.0821965039684,0.0
20,5535938600.0,2953960.0,5538892300.0,1364.553689956665,0.2622886,20.918872493455005,0.0
21,5355632600.0,2961950.0,5358594600.0,1305.4101467132568,0.2568902,20.76532018695892,0.0
22,5174672400.0,2950684.0,5177623000.0,1316.7061805725098,0.25186297,20.620650693374674,0.0
23,5034113000.0,2932357.0,5037045000.0,1323.8840103149414,0.24728562,20.48416826435349,0.0
24,4923701000.0,2919382.8,4926620700.0,1341.0530090332031,0.24319053,20.35527961864332,0.0
25,4794467300.0,2919963.8,4797387300.0,1347.0947742462158,0.23953052,20.23333327248875,0.0
26,4634702000.0,2935662.8,4637637600.0,1312.5431537628174,0.23621307,20.117721988092544,0.0
27,4478471000.0,2960951.0,4481432000.0,1360.3181838989258,0.2331255,20.00787112830306,0.0
28,4350249000.0,2986303.5,4353235500.0,1328.7231922149658,0.23017472,19.90333691175796,0.0
29,4238337800.0,3004130.5,4241342000.0,1393.1925296783447,0.22731209,19.80373376264637,0.0
30,4118381600.0,3010655.2,4121392000.0,1314.704656600952,0.22453488,19.70865716675973,0.0
31,3997065700.0,3007160.5,4000073000.0,1338.0224704742432,0.22187991,19.61774897884628,0.0
32,3895464200.0,2998432.5,3898462700.0,1335.5183601379397,0.21939488,19.530718797331225,0.0
33,3814420500.0,2990844.8,3817411300.0,1317.9287910461426,0.21711099,19.44728307662664,0.0
34,3730460000.0,2989407.5,3733449200.0,1340.137243270874,0.2150325,19.367209557930444,0.0
35,3630510300.0,2995000.0,3633505300.0,1288.6672019958496,0.21313305,19.290196987367484,0.0
36,3526576000.0,3006177.2,3529582300.0,1387.6876831054688,0.21136957,19.215983557160744,0.0
37,3435782700.0,3020249.8,3438803000.0,1287.3930931091309,0.20969726,19.144376401588616,0.0
38,3359070700.0,3032524.0,3362103300.0,1281.9087505340576,0.20808136,19.07522899359521,0.0
39,3284046300.0,3039280.0,3287085600.0,1355.8480739593506,0.2065032,19.008388603679307,0.0
40,3203302100.0,3039357.2,3206341400.0,1379.392147064209,0.20496349,18.943702866299923,0.0
41,3122370000.0,3034906.5,3125405000.0,1349.6592044830322,0.20347936,18.88104566275147,0.0
42,3051902000.0,3029277.5,3054931200.0,1377.4099349975586,0.20207284,18.82033543585576,0.0
43,2991952400.0,3025525.2,2994977800.0,1318.7603950500488,0.20076115,18.7614734765514,0.0
44,2932996000.0,3026444.0,2936022500.0,1297.4660396575928,0.19955122,18.70437475244041,0.0
45,2866996000.0,3032831.2,2870028800.0,1343.6775207519531,0.19843651,18.648950333712385,0.0
46,2797959700.0,3043605.0,2801003300.0,1355.2196025848389,0.19740184,18.595146299791693,0.0
47,2734359000.0,3055850.5,2737415000.0,1319.488763809204,0.1964262,18.54289447491565,0.0
48,2679380000.0,3067075.5,2682447000.0,1362.623929977417,0.19549032,18.49213778130309,0.0
49,2628064000.0,3074453.5,2631138600.0,1287.0371341705322,0.19458248,18.44282952406038,0.0
50,2574450700.0,3076163.8,2577526800.0,1302.2441864013672,0.19370003,18.394895212579115,0.0
51,2518735600.0,3072595.5,2521808100.0,1335.820198059082,0.19284898,18.348251781408823,0.0
52,2464811000.0,3065525.2,2467876600.0,1344.921350479126,0.19203763,18.302796212556824,0.0
53,2416740600.0,3058072.0,2419798800.0,1324.368238449097,0.19127704,18.25846381934728,0.0
54,2371779000.0,3052812.5,2374831900.0,1323.634386062622,0.19057369,18.21521084847357,0.0
55,2324697600.0,3051767.5,2327749400.0,1344.4230556488037,0.18992549,18.17295704262336,0.0
